Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
QB,Patrick Mahomes,AFC,KAN,23,1,16,16,383,580,5097,50,12,60,272,2,0,0,0,0,0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm"
QB,Drew Brees%,NFC,NOR,39,17,15,15,364,489,3992,32,5,31,22,4,1,1,0,0,0,0,"AP: 2nd Tm, PFF: 2nd Tm, SN: 1st Tm"
QB,Mitchell Trubisky+,NFC,CHI,24,1,14,14,289,434,3223,24,12,68,421,3,0,0,0,0,0,0,
QB,Andrew Luck+,AFC,IND,29,6,16,16,430,639,4593,39,15,46,148,0,1,4,0,0,0,0,
QB,Dak Prescott+,NFC,DAL,25,2,16,16,356,526,3885,22,8,75,305,6,0,0,0,0,0,0,
QB,Aaron Rodgers%,NFC,GNB,35,13,16,16,372,597,4442,25,2,43,269,2,0,0,0,0,0,0,
QB,Deshaun Watson+,AFC,HOU,23,1,16,16,345,505,4165,26,9,99,551,5,0,0,0,0,0,0,
QB,Tom Brady%,AFC,NWE,41,18,16,16,375,570,4355,29,11,23,35,2,1,6,0,0,0,0,
QB,Jared Goff%,NFC,LAR,24,2,16,16,364,561,4688,32,12,43,108,2,0,0,0,0,0,0,
QB,Philip Rivers%,AFC,LAC,37,14,16,16,347,508,4308,32,12,18,7,0,0,0,0,0,0,0,
QB,Russell Wilson+,NFC,SEA,30,6,16,16,280,427,3448,35,7,67,376,0,1,-11,0,0,0,0,
RB,Todd Gurley%,NFC,LAR,24,3,14,14,0,0,0,0,0,256,1251,17,59,580,4,0,0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
RB,Saquon Barkley,NFC,NYG,21,Rook,16,16,0,0,0,0,0,261,1307,11,91,721,4,0,0,0,"PFF: 1st Tm, SN: 1st Tm"
RB,Ezekiel Elliott,NFC,DAL,23,2,15,15,0,0,0,0,0,304,1434,6,77,567,3,0,0,0,"FW: 1st Tm, AP: 2nd Tm"
RB,Alvin Kamara+,NFC,NOR,23,1,15,13,0,0,0,0,0,194,883,14,81,709,4,0,0,0,PFF: 2nd Tm
RB,Phillip Lindsay%,AFC,DEN,24,Rook,15,8,0,0,0,0,0,192,1037,9,35,241,1,1,0,0,
RB,Lamar Miller+,AFC,HOU,27,6,14,14,0,0,0,0,0,210,973,5,25,163,1,0,0,0,
RB,James Conner,AFC,PIT,23,1,13,12,0,0,0,0,0,215,973,12,55,497,1,0,0,0,
RB,Melvin Gordon,AFC,LAC,25,3,12,12,0,0,0,0,0,175,885,10,50,490,4,0,0,0,
FB,Anthony Sherman,AFC,KAN,30,7,16,1,0,0,0,0,0,1,2,0,8,96,1,2,0,0,
FB,Kyle Juszczyk,NFC,SFO,27,5,16,14,0,0,0,0,0,8,30,0,30,324,1,0,0,0,
