Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
QB,Aaron Rodgers,NFC,GNB,28,6,15,15,343,502,4643,45,6,60,257,3,0,0,0,1,0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
QB,Drew Brees,NFC,NOR,32,10,16,16,468,657,5476,46,14,21,86,1,0,0,0,2,0,0,"AP: 2nd Tm, PFF: 2nd Tm"
QB,Cam Newton+,NFC,CAR,22,Rook,16,16,310,517,4051,21,17,126,706,14,1,27,0,1,0,0,
QB,Andy Dalton+,AFC,CIN,24,Rook,16,16,300,516,3398,20,13,37,152,1,0,0,0,2,0,0,
QB,Tom Brady,AFC,NWE,34,11,16,16,401,611,5235,39,12,43,109,3,0,0,0,0,0,0,
QB,Eli Manning,NFC,NYG,30,7,16,16,359,589,4933,29,16,35,15,1,0,0,0,0,0,0,
QB,Ben Roethlisberger,AFC,PIT,29,7,15,15,324,513,4077,21,14,31,70,0,0,0,0,2,0,0,
QB,Philip Rivers,AFC,SDG,30,7,16,16,366,582,4624,27,20,26,36,1,0,0,0,1,0,0,
RB,Maurice Jones-Drew,AFC,JAX,26,5,16,16,0,0,0,0,0,343,1606,8,43,374,3,1,0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
RB,LeSean McCoy,NFC,PHI,23,2,15,15,0,0,0,0,0,273,1309,17,48,315,3,2,0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
RB,Arian Foster,AFC,HOU,25,2,13,13,0,0,0,0,0,278,1224,10,53,617,2,3,0,0,AP: 2nd Tm
RB,Ray Rice,AFC,BAL,24,3,16,16,1,1,1,1,0,291,1364,12,76,704,3,0,0,0,AP: 2nd Tm
RB,Matt Forte,NFC,CHI,26,3,12,12,0,1,0,0,0,203,997,3,52,490,1,3,0,0,
RB,Willis McGahee+,AFC,DEN,30,7,15,14,0,0,0,0,0,249,1199,4,12,51,1,1,0,0,
RB,Ryan Mathews+,AFC,SDG,24,1,14,14,0,0,0,0,0,222,1091,6,50,455,0,2,0,0,
RB,Marshawn Lynch+,NFC,SEA,25,4,15,15,0,2,0,0,0,285,1204,12,28,212,1,2,0,0,
RB,Frank Gore,NFC,SFO,28,6,16,15,0,0,0,0,0,282,1211,8,17,114,0,1,0,0,
FB,Vonta Leach,AFC,BAL,30,7,16,16,0,0,0,0,0,12,35,0,15,69,0,2,0,0,"AP: 1st Tm, PFF: 1st Tm"
FB,John Kuhn,NFC,GNB,29,5,16,3,0,0,0,0,0,30,78,4,15,77,2,1,0,0,AP: 2nd Tm
