Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
RB,Jay Ajayi,AFC,MIA,23,1,15,12,0,0,0,0,0,260,1272,8,27,151,0,0,0,0,PFF: 2nd Tm
RB,Le'Veon Bell%,AFC,PIT,24,3,12,12,0,1,0,0,0,261,1268,7,75,616,2,0,0,0,AP: 2nd Tm
RB,Devonta Freeman%,NFC,ATL,24,2,16,16,0,0,0,0,0,227,1079,11,54,462,2,0,0,0,
RB,LeSean McCoy%,AFC,BUF,28,7,15,15,0,0,0,0,0,234,1267,13,50,356,1,0,0,0,
RB,Jordan Howard,NFC,CHI,22,Rook,15,13,0,0,0,0,0,252,1313,6,29,298,1,1,0,0,
RB,DeMarco Murray,AFC,TEN,28,5,16,16,1,2,10,1,0,293,1287,9,53,377,3,0,0,0,
RB,Darren Sproles,NFC,PHI,33,11,15,5,0,0,0,0,0,94,438,2,52,427,2,1,0,0,
RB,Melvin Gordon+,AFC,SDG,23,1,13,11,0,0,0,0,0,254,997,10,41,419,2,0,0,0,
FB,Kyle Juszczyk,AFC,BAL,25,3,16,7,0,0,0,0,0,5,22,1,37,266,0,0,0,0,PFF: 1st Tm
FB,Mike Tolbert,NFC,CAR,31,8,16,2,0,0,0,0,0,35,114,0,10,72,1,0,0,0,
WR,Julio Jones%,NFC,ATL,27,5,14,14,0,0,0,0,0,0,0,0,83,1409,6,0,0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
WR,Tyreek Hill,AFC,KAN,22,Rook,16,1,0,0,0,0,0,24,267,3,61,593,6,0,0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
WR,Antonio Brown%,AFC,PIT,28,6,15,15,0,0,0,0,0,3,9,0,106,1284,12,0,0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
WR,Mike Evans,NFC,TAM,23,2,16,16,0,0,0,0,0,0,0,0,96,1321,12,0,0,0,"PFF: 1st Tm, AP: 2nd Tm"
WR,Odell Beckham,NFC,NYG,24,2,16,16,0,0,0,0,0,1,9,0,101,1367,10,0,0,0,"AP: 2nd Tm, PFF: 2nd Tm"
WR,T.Y. Hilton,AFC,IND,27,4,16,16,0,0,0,0,0,0,0,0,91,1448,6,0,0,0,PFF: 2nd Tm
WR,A.J. Green%,AFC,CIN,28,5,10,10,0,0,0,0,0,0,0,0,66,964,4,0,0,0,
WR,Larry Fitzgerald%,NFC,ARI,33,12,16,16,0,1,0,0,0,2,5,0,107,1023,6,0,0,0,
WR,Dez Bryant,NFC,DAL,28,6,13,13,1,1,10,1,0,0,0,0,50,796,8,0,0,0,
WR,Emmanuel Sanders,AFC,DEN,29,6,16,16,0,0,0,0,0,1,4,0,79,1032,5,0,0,0,
WR,Demaryius Thomas,AFC,DEN,29,6,16,16,0,0,0,0,0,0,0,0,90,1083,5,0,0,0,
WR,Jarvis Landry,AFC,MIA,24,2,16,16,0,1,0,0,0,5,17,0,94,1136,4,0,0,0,
WR,Amari Cooper,AFC,OAK,22,1,16,14,0,0,0,0,0,1,0,0,83,1153,5,0,0,0,
WR,Doug Baldwin,NFC,SEA,28,5,16,15,1,1,15,1,0,3,2,0,94,1128,7,0,0,0,
TE,Travis Kelce,AFC,KAN,27,3,16,15,0,0,0,0,0,1,-5,0,85,1125,4,0,0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
TE,Greg Olsen,NFC,CAR,31,9,16,16,0,0,0,0,0,0,0,0,80,1073,3,0,0,0,"AP: 2nd Tm, PFF: 2nd Tm"
TE,Delanie Walker,AFC,TEN,32,10,15,10,0,0,0,0,0,2,11,0,65,800,7,0,0,0,
TE,Jimmy Graham,NFC,SEA,30,6,16,15,0,0,0,0,0,1,0,0,65,923,6,0,0,0,
TE,Jordan Reed%,NFC,WAS,26,3,12,8,0,0,0,0,0,0,0,0,66,686,6,0,0,0,
LT,Tyron Smith,NFC,DAL,26,5,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
