Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2015,Julian Wilson,CB,,Oklahoma,College Stats,2-Jun,6'2,205,4.58,36,,125,6.94,4.22,
2,2015,P.J. Williams,CB,7,Florida State,College Stats,1-Jun,6'1,194,4.57,40,12,132,7.08,4.28,New Orleans Saints / 3rd / 78th pick / 2015
3,2015,Kevin White,CB,,TCU,College Stats,9-May,5'9,183,4.63,35.5,18,121,,,
4,2015,Trae Waynes,CB,15,Michigan State,College Stats,1-Jun,6'1,186,4.31,38,19,122,7.06,4.39,Minnesota Vikings / 1st / 11th pick / 2015
5,2015,Damian Swann,CB,1,Georgia,College Stats,1-Jun,6'1,189,4.5,33,,118,,,New Orleans Saints / 5th / 167th pick / 2015
6,2015,Tye Smith,CB,1,Towson,,1-Jun,6'1,195,4.6,36.5,15,124,6.97,3.96,Seattle Seahawks / 5th / 170th pick / 2015
7,2015,D'Joun Smith,CB,0,Florida Atlantic,College Stats,10-May,5'10,187,4.37,36,18,124,6.96,4.26,Indianapolis Colts / 3rd / 65th pick / 2015
8,2015,JaCorey Shepherd,CB,1,Kansas,College Stats,11-May,5'11,199,4.62,,14,,,,Philadelphia Eagles / 6th / 191st pick / 2015
9,2015,Josh Shaw,CB,7,Southern California,College Stats,1-Jun,6'1,201,4.44,37.5,26,130,7.01,4.12,Cincinnati Bengals / 4th / 120th pick / 2015
10,2015,Eric Rowe,CB,7,Utah,College Stats,1-Jun,6'1,205,4.45,39,19,125,6.7,3.97,Philadelphia Eagles / 2nd / 47th pick / 2015
11,2015,Quinten Rollins,CB,7,Miami (OH),College Stats,11-May,5'11,195,4.57,36.5,14,122,7.1,4.28,Green Bay Packers / 2nd / 62nd pick / 2015
12,2015,Marcus Peters,CB,35,Washington,College Stats,1-Jun,6'1,197,4.53,37.5,17,121,7.08,4.08,Kansas City Chiefs / 1st / 18th pick / 2015
13,2015,Garry Peters,CB,,Clemson,College Stats,1-Jun,6'1,191,4.61,32.5,7,119,6.8,4,
14,2015,Steven Nelson,CB,13,Oregon State,College Stats,10-May,5'10,197,4.49,34.5,19,115,6.88,4.07,Kansas City Chiefs / 3rd / 98th pick / 2015
15,2015,Bobby McCain,CB,13,Memphis,College Stats,9-May,5'9,195,4.51,36,17,130,6.8,3.82,Miami Dolphins / 5th / 145th pick / 2015
16,2015,Nick Marshall,CB,2,Auburn,College Stats,1-Jun,6'1,207,4.54,37.5,12,124,6.96,4.15,
17,2015,Craig Mager,CB,4,Texas State,College Stats,11-May,5'11,201,4.44,38,17,130,6.83,4.07,San Diego Chargers / 3rd / 83rd pick / 2015
18,2015,Byron Jones,CB,27,Connecticut,College Stats,1-Jun,6'1,199,4.43,44.5,,147,6.78,3.94,Dallas Cowboys / 1st / 27th pick / 2015
19,2015,Kevin Johnson,CB,9,Wake Forest,College Stats,1-Jun,6'1,188,4.52,41.5,,130,6.79,3.89,Houston Texans / 1st / 16th pick / 2015
20,2015,Troy Hill,CB,7,Oregon,College Stats,10-May,5'10,180,4.55,32.5,,120,6.81,4.21,
21,2015,Doran Grant,CB,0,Ohio State,College Stats,10-May,5'10,200,4.44,33,21,116,,4.33,Pittsburgh Steelers / 4th / 121st pick / 2015
22,2015,Senquez Golson,CB,,Mississippi,College Stats,9-May,5'9,176,4.46,33.5,15,120,6.81,4.2,Pittsburgh Steelers / 2nd / 56th pick / 2015
23,2015,Jacoby Glenn,CB,1,Central Florida,College Stats,1-Jun,6'1,179,4.64,34,,123,6.97,4.26,
24,2015,Charles Gaines,CB,1,Louisville,College Stats,10-May,5'10,180,4.44,34.5,,123,7.07,4.2,Cleveland Browns / 6th / 189th pick / 2015
25,2015,Ifo Ekpre-Olomu,CB,,Oregon,College Stats,9-May,5'9,192,4.52,,,,,,Cleveland Browns / 7th / 241st pick / 2015
26,2015,Lorenzo Doss,CB,0,Tulane,College Stats,10-May,5'10,182,4.5,33.5,9,115,7.2,4.26,Denver Broncos / 5th / 164th pick / 2015
27,2015,Quandre Diggs,CB,13,Texas,College Stats,9-May,5'9,196,4.56,35.5,17,113,7.22,4.15,Detroit Lions / 6th / 200th pick / 2015
28,2015,Ronald Darby,CB,17,Florida State,College Stats,11-May,5'11,193,4.38,41.5,12,129,6.94,4.14,Buffalo Bills / 2nd / 50th pick / 2015
29,2015,Justin Cox,CB,,Mississippi State,College Stats,1-Jun,6'1,191,4.36,38,15,129,7.05,4.07,
30,2015,Jalen Collins,CB,3,LSU,College Stats,1-Jun,6'1,203,4.48,36,,124,6.77,4.27,Atlanta Falcons / 2nd / 42nd pick / 2015
31,2015,Justin Coleman,CB,10,Tennessee,College Stats,11-May,5'11,185,4.53,37.5,20,124,6.61,3.98,
32,2015,Donald Celiscar,CB,,Western Michigan,College Stats,11-May,5'11,194,4.62,,,120,,,
33,2015,Alex Carter,CB,0,Stanford,College Stats,1-Jun,6'1,196,4.51,40,17,121,7.05,4.07,Detroit Lions / 3rd / 80th pick / 2015
34,2014,Lavelle Westbrooks,CB,,Georgia Southern,,11-May,5'11,186,4.63,36,15,121,6.98,4.27,Cincinnati Bengals / 7th / 252nd pick / 2014
35,2014,Jaylen Watkins,CB,3,Florida,College Stats,11-May,5'11,194,4.41,,22,,,,Philadelphia Eagles / 4th / 101st pick / 2014
36,2014,Jason Verrett,CB,12,TCU,College Stats,9-May,5'9,189,4.38,39,,128,6.69,4,San Diego Chargers / 1st / 25th pick / 2014
37,2014,Jemea Thomas,CB,0,Georgia Tech,College Stats,9-May,5'9,192,4.52,37,19,125,,,New England Patriots / 6th / 206th pick / 2014
38,2014,Bradley Roby,CB,17,Ohio State,College Stats,11-May,5'11,194,4.39,38.5,17,124,,4.04,Denver Broncos / 1st / 31st pick / 2014
39,2014,Marcus Roberson,CB,3,Florida,College Stats,1-Jun,6'1,191,4.61,37.5,8,120,6.84,4.08,
40,2014,Rashaad Reynolds,CB,,Oregon State,College Stats,10-May,5'10,189,4.51,37.5,20,123,6.72,4,
41,2014,Keith Reaser,CB,2,Florida Atlantic,College Stats,11-May,5'11,189,4.43,,22,,,,San Francisco 49ers / 5th / 170th pick / 2014
42,2014,Loucheiz Purifoy,CB,,Florida,College Stats,11-May,5'11,190,4.61,35.5,6,120,,,
43,2014,Jabari Price,CB,1,North Carolina,College Stats,11-May,5'11,200,4.45,,16,,7.04,4.3,Minnesota Vikings / 7th / 225th pick / 2014
44,2014,Terrance Mitchell,CB,7,Oregon,College Stats,11-May,5'11,192,4.63,34,,117,6.57,4,Dallas Cowboys / 7th / 254th pick / 2014
45,2014,Keith McGill,CB,4,Utah,College Stats,3-Jun,6'3,211,4.51,39,,129,7.29,4.18,Oakland Raiders / 4th / 116th pick / 2014
46,2014,Dexter McDougle,CB,2,Maryland,College Stats,10-May,5'10,196,4.47,,,,,,New York Jets / 3rd / 80th pick / 2014
47,2014,Nevin Lawson,CB,17,Utah State,College Stats,9-May,5'9,190,4.48,33,16,120,7.12,4.4,Detroit Lions / 4th / 133rd pick / 2014
48,2014,Lamarcus Joyner,CB,18,Florida State,College Stats,8-May,5'8,184,4.55,37.5,14,124,7.26,4.4,St. Louis Rams / 2nd / 41st pick / 2014
49,2014,Dontae Johnson,CB,10,North Carolina State,College Stats,2-Jun,6'2,200,4.41,38.5,12,124,6.82,4.24,San Francisco 49ers / 4th / 129th pick / 2014
50,2014,Stanley Jean-Baptiste,CB,0,Nebraska,College Stats,3-Jun,6'3,218,4.61,41.5,13,128,,4.33,New Orleans Saints / 2nd / 58th pick / 2014
51,2014,Kendall James,CB,,Maine,,10-May,5'10,180,4.44,39,9,,6.81,4.19,Minnesota Vikings / 6th / 184th pick / 2014
52,2014,Bennett Jackson,CB,,Notre Dame,College Stats,Jun-00,6'1,195,4.51,38,13,128,6.75,4,New York Giants / 6th / 187th pick / 2014
53,2014,Victor Hampton,CB,,South Carolina,College Stats,9-May,5'9,197,4.69,33.5,20,118,7.01,4.2,
54,2014,Andre Hal,CB,20,Vanderbilt,College Stats,10-May,5'10,188,4.5,35.5,15,119,7.14,4.27,Houston Texans / 7th / 216th pick / 2014
55,2014,Demetri Goodson,CB,2,Baylor,College Stats,May-19,5'11,194,4.52,37,11,123,6.8,4.34,Green Bay Packers / 6th / 197th pick / 2014
56,2014,Justin Gilbert,CB,4,Oklahoma State,College Stats,1-Jun,6'1,202,4.37,35.5,20,126,6.92,,Cleveland Browns / 1st / 8th pick / 2014
57,2014,Phillip Gaines,CB,8,Rice,College Stats,1-Jun,6'1,193,4.38,36.5,11,122,6.62,4.04,Kansas City Chiefs / 3rd / 87th pick / 2014
58,2014,E.J. Gaines,CB,15,Missouri,College Stats,10-May,5'10,190,4.44,,15,,,,St. Louis Rams / 6th / 188th pick / 2014
59,2014,Kyle Fuller,CB,32,Virginia Tech,College Stats,Jun-00,6'1,190,4.49,38.5,12,128,6.9,4.19,Chicago Bears / 1st / 14th pick / 2014
60,2014,Antone Exum,CB,6,Virginia Tech,College Stats,1-Jun,6'1,213,4.59,35,17,117,7.05,4.13,Minnesota Vikings / 6th / 182nd pick / 2014
61,2014,Brandon Dixon,CB,3,Northwest Missouri State,,May-19,5'11,203,4.41,32.5,17,117,7.15,4.27,New York Jets / 6th / 195th pick / 2014
62,2014,Pierre Desir,CB,10,Lindenwood,,1-Jun,6'1,198,4.59,35,11,133,6.86,4.3,Cleveland Browns / 4th / 127th pick / 2014
63,2014,Darqueze Dennard,CB,11,Michigan State,College Stats,May-19,5'11,199,4.52,,15,,,,Cincinnati Bengals / 1st / 24th pick / 2014
64,2014,Chris Davis,CB,2,Auburn,College Stats,10-May,5'10,202,4.54,,15,,,,
65,2014,Aaron Colvin,CB,12,Oklahoma,College Stats,May-19,5'11,177,4.51,,,,,,Jacksonville Jaguars / 4th / 114th pick / 2014
66,2014,Ross Cockrell,CB,15,Duke,College Stats,1-Jun,6'1,191,4.56,36.5,10,122,7.28,4.32,Buffalo Bills / 4th / 109th pick / 2014
67,2014,Travis Carrie,CB,18,Ohio,College Stats,1-Jun,6'1,206,4.49,,17,,,,Oakland Raiders / 7th / 219th pick / 2014
68,2014,Bashaud Breeland,CB,26,Clemson,College Stats,11-May,5'11,197,4.62,34.5,11,123,7.04,4.33,Washington Redskins / 4th / 102nd pick / 2014
69,2014,Bene' Benwikere,CB,11,San Jose State,College Stats,11-May,5'11,195,4.59,40.5,10,122,6.94,4.38,Carolina Panthers / 5th / 148th pick / 2014
70,2014,Deion Belue,CB,,Alabama,College Stats,11-May,5'11,182,4.48,,11,,,,
71,2014,Ricardo Allen,CB,17,Purdue,College Stats,9-May,5'9,187,4.61,35.5,13,117,,4.15,Atlanta Falcons / 5th / 147th pick / 2014
72,2014,Todd Washington,CB,,Southeastern Louisiana,,11-May,5'11,196,4.57,,13,,,,
73,2013,Blidi Wreh-Wilson,CB,7,Connecticut,College Stats,1-Jun,6'1,195,4.53,36,14,128,6.97,4.12,Tennessee Titans / 3rd / 70th pick / 2013
74,2013,Khalid Wooten,CB,,Indiana,College Stats,11-May,5'11,210,4.53,33.5,17,117,6.95,4.18,
75,2013,Steve Williams,CB,4,California,College Stats,9-May,5'9,181,4.42,40.5,12,128,6.89,4.1,San Diego Chargers / 5th / 145th pick / 2013
76,2013,Kayvon Webster,CB,10,South Florida,College Stats,10-May,5'10,195,4.41,35,14,125,,,Denver Broncos / 3rd / 90th pick / 2013
77,2013,B.W. Webb,CB,10,William & Mary,,May-19,5'10,184,4.51,40.5,14,132,6.82,3.84,Dallas Cowboys / 4th / 114th pick / 2013
78,2013,Desmond Trufant,CB,34,Washington,College Stats,1-Jun,6'1,190,4.38,37.5,16,125,,3.85,Atlanta Falcons / 1st / 22nd pick / 2013
79,2013,Jamar Taylor,CB,15,Boise State,College Stats,11-May,5'11,192,4.39,35,22,127,6.82,4.06,Miami Dolphins / 2nd / 54th pick / 2013
80,2013,Rod Sweeting,CB,1,Georgia Tech,College Stats,11-May,5'11,189,4.42,37,11,124,,,
81,2013,Darius Slay,CB,39,Mississippi State,College Stats,Jun-00,6'1,192,4.36,35.5,14,124,6.9,4.21,Detroit Lions / 2nd / 36th pick / 2013
82,2013,Tharold Simon,CB,3,LSU,College Stats,2-Jun,6'2,202,4.51,34,9,128,,,Seattle Seahawks / 5th / 138th pick / 2013
83,2013,Logan Ryan,CB,29,Rutgers,College Stats,11-May,5'11,191,4.56,32.5,14,116,6.69,4.06,New England Patriots / 3rd / 83rd pick / 2013
84,2013,Nickell Robey,CB,14,Southern California,College Stats,7-May,5'7,169,4.53,37.5,10,127,6.74,4.09,
85,2013,Xavier Rhodes,CB,39,Florida State,College Stats,1-Jun,6'1,210,4.43,40.5,14,132,,,Minnesota Vikings / 1st / 25th pick / 2013
86,2013,Jordan Poyer,CB,19,Oregon State,College Stats,1-Jun,6'1,191,4.54,30.5,8,118,6.87,4.18,Philadelphia Eagles / 7th / 218th pick / 2013
87,2013,Dee Milliner,CB,6,Alabama,College Stats,1-Jun,6'1,201,4.37,36,,122,6.95,4.32,New York Jets / 1st / 9th pick / 2013
88,2013,Brandon McGee,CB,1,Miami (FL),College Stats,11-May,5'11,193,4.4,33.5,14,119,6.71,4.18,St. Louis Rams / 5th / 149th pick / 2013
89,2013,Leon McFadden,CB,2,San Diego State,College Stats,10-May,5'10,193,4.54,34.5,10,119,6.81,4.27,Cleveland Browns / 3rd / 68th pick / 2013
90,2013,Demetrius McCray,CB,8,Appalachian State,,Jun-19,6'1,187,4.54,36,4,126,7.17,4.32,Jacksonville Jaguars / 7th / 210th pick / 2013
91,2013,Tyrann Mathieu,CB,34,LSU,,9-May,5'9,186,4.5,34,4,117,6.87,4.14,Arizona Cardinals / 3rd / 69th pick / 2013
92,2013,Josh Johnson,CB,,Purdue,College Stats,May-19,5'9,199,4.65,35,16,114,6.99,4.25,
93,2013,Micah Hyde,CB,32,Iowa,College Stats,1-Jun,6'1,197,4.56,33,12,121,6.78,4.2,Green Bay Packers / 5th / 159th pick / 2013
94,2013,Aaron Hester,CB,,UCLA,College Stats,Jun-19,6'2,198,4.62,29,,112,7.26,4.33,
95,2013,D.J. Hayden,CB,14,Houston,College Stats,11-May,5'11,191,4.4,,,,,,Oakland Raiders / 1st / 12th pick / 2013
96,2013,Terry Hawthorne,CB,,Illinois,College Stats,1-Jun,6'1,195,4.44,35.5,13,116,,,Pittsburgh Steelers / 5th / 150th pick / 2013
97,2013,Dwayne Gratz,CB,10,Connecticut,College Stats,May-19,5'11,201,4.47,38,22,125,6.7,4.15,Jacksonville Jaguars / 3rd / 64th pick / 2013
98,2013,Will Davis,CB,0,Utah State,College Stats,11-May,5'11,186,4.51,35.5,16,127,6.52,4.02,Miami Dolphins / 3rd / 93rd pick / 2013
