Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2011,Ryan Winterswyk,DE,,Boise State,College Stats,4-Jun,6'4,268,4.96,30,18,111,7.01,4.37,
2,2011,Ian Williams,DT,12,Notre Dame,College Stats,1-Jun,6'1,319,5.21,28.5,31,98,,4.78,
3,2011,Muhammad Wilkerson,DT,72,Temple,College Stats,4-Jun,6'4,315,4.96,26,27,106,7.31,4.59,New York Jets / 1st / 30th pick / 2011
4,2011,Markus White,DE,0,Florida State,College Stats,3-Jun,6'3,266,4.86,32.5,14,117,7.25,4.51,Washington Redskins / 7th / 224th pick / 2011
5,2011,J.J. Watt,DE,108,Wisconsin,College Stats,5-Jun,6'5,290,4.81,37,34,120,6.88,4.21,Houston Texans / 1st / 11th pick / 2011
6,2011,Cedric Thornton,DT,27,Southern Arkansas,,3-Jun,6'3,309,5.25,27,23,101,7.7,4.71,
7,2011,Phil Taylor,DT,21,Baylor,College Stats,3-Jun,6'3,334,5.09,29.5,31,100,7.75,4.77,Cleveland Browns / 1st / 21st pick / 2011
8,2011,Adrian Taylor,DT,,Oklahoma,College Stats,3-Jun,6'3,311,5.22,,34,,,,
9,2011,Aldon Smith,DE,29,Missouri,College Stats,4-Jun,6'4,263,4.74,34,20,118,7.19,4.5,San Francisco 49ers / 1st / 7th pick / 2011
10,2011,Sealver Siliga,DT,10,Utah,College Stats,2-Jun,6'2,305,5.38,29,29,100,7.7,4.75,
11,2011,Jabaal Sheard,DE,54,Pittsburgh,College Stats,3-Jun,6'3,264,4.68,31,,115,,,Cleveland Browns / 2nd / 37th pick / 2011
12,2011,Greg Romeus,DE,0,Pittsburgh,College Stats,5-Jun,6'5,264,4.79,,,,,,New Orleans Saints / 7th / 226th pick / 2011
13,2011,D'Aundre Reed,DE,0,Arizona,College Stats,4-Jun,6'4,261,4.84,35.5,30,119,7.24,4.32,Minnesota Vikings / 7th / 215th pick / 2011
14,2011,Robert Quinn,DE,58,North Carolina,College Stats,4-Jun,6'4,265,4.62,34,22,116,7.13,4.4,St. Louis Rams / 1st / 14th pick / 2011
15,2011,Jerrell Powe,DT,3,Mississippi,College Stats,2-Jun,6'2,335,5.25,25,27,93,8.17,5.06,Kansas City Chiefs / 6th / 199th pick / 2011
16,2011,Martin Parker,DT,0,Richmond,,2-Jun,6'2,303,4.95,29,22,104,7.56,4.57,
17,2011,Stephen Paea,DT,24,Oregon State,College Stats,1-Jun,6'1,303,4.98,,49,,,,Chicago Bears / 2nd / 53rd pick / 2011
18,2011,Cheta Ozougwu,DE,1,Rice,College Stats,2-Jun,6'2,247,4.84,34.5,26,119,7.06,4.31,Houston Texans / 7th / 254th pick / 2011
19,2011,Drake Nevis,DT,4,LSU,College Stats,1-Jun,6'1,294,5.06,30.5,31,112,7.71,4.65,Indianapolis Colts / 3rd / 87th pick / 2011
20,2011,Chris Neild,DT,2,West Virginia,College Stats,2-Jun,6'2,319,5.06,29,30,106,7.56,4.46,Washington Redskins / 7th / 253rd pick / 2011
21,2011,Pernell McPhee,DE,22,Mississippi State,College Stats,3-Jun,6'3,278,4.91,28.5,20,107,7.13,4.59,Baltimore Ravens / 5th / 165th pick / 2011
22,2011,Terrell McClain,DT,17,South Florida,College Stats,2-Jun,6'2,297,4.98,28,29,104,7.48,4.56,Carolina Panthers / 3rd / 65th pick / 2011
