Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2014,Kerry Wynn,DE,12,Richmond,,5-Jun,6'5,266,4.97,34,31,113,,,
2,2014,Chris Whaley,DT,,Texas,College Stats,3-Jun,6'3,269,5.02,,,,,,
3,2014,Ethan Westbrooks,DE,12,West Texas A&M,,3-Jun,6'3,267,4.9,29,19,110,7.3,4.67,
4,2014,Brent Urban,DE,14,Virginia,College Stats,7-Jun,6'7,295,4.98,,,,,,Baltimore Ravens / 4th / 134th pick / 2014
5,2014,George Uko,DT,0,Southern California,College Stats,3-Jun,6'3,284,4.99,29.5,18,110,,,
6,2014,Stephon Tuitt,DT,30,Notre Dame,College Stats,5-Jun,6'5,304,4.92,,31,,,,Pittsburgh Steelers / 2nd / 46th pick / 2014
7,2014,Khyri Thornton,DT,3,Southern Miss,College Stats,3-Jun,6'3,304,5.03,29,28,112,7.83,4.76,Green Bay Packers / 3rd / 85th pick / 2014
8,2014,Robert Thomas,DT,2,Arkansas,College Stats,1-Jun,6'1,327,5.26,,32,,,,
9,2014,Will Sutton,DT,9,Arizona State,College Stats,1-Jun,6'1,303,5.36,28.5,24,99,7.93,4.82,Chicago Bears / 3rd / 82nd pick / 2014
10,2014,Ed Stinson,DE,5,Alabama,College Stats,3-Jun,6'3,287,4.98,,,,,,Arizona Cardinals / 5th / 160th pick / 2014
11,2014,Shamar Stephen,DT,20,Connecticut,College Stats,5-Jun,6'5,309,5.25,30.5,25,103,,,Minnesota Vikings / 7th / 220th pick / 2014
12,2014,Marcus Smith,DE,3,Louisville,College Stats,3-Jun,6'3,251,4.66,35,23,121,7.48,4.47,Philadelphia Eagles / 1st / 26th pick / 2014
13,2014,Michael Sam,DE,,Missouri,College Stats,2-Jun,6'2,261,4.91,25.5,17,114,7.8,4.7,St. Louis Rams / 7th / 249th pick / 2014
14,2014,Caraun Reid,DT,8,Princeton,,2-Jun,6'2,302,4.91,26.5,20,106,7.59,4.58,Detroit Lions / 5th / 158th pick / 2014
15,2014,Kaleb Ramsey,DT,,Boston College,College Stats,3-Jun,6'3,293,,,36,,,,San Francisco 49ers / 7th / 243rd pick / 2014
16,2014,Kelcy Quarles,DT,0,South Carolina,College Stats,4-Jun,6'4,297,5.03,23.5,27,102,,,
17,2014,Tenny Palepoi,DT,4,Utah,College Stats,1-Jun,6'1,298,5.1,30.5,31,111,7.67,4.53,
18,2014,Jeoffrey Pagan,DE,1,Alabama,College Stats,3-Jun,6'3,310,4.92,,,,,,Houston Texans / 6th / 177th pick / 2014
19,2014,Louis Nix III,DT,0,Notre Dame,College Stats,2-Jun,6'2,331,5.32,25.5,,97,8.29,4.94,Houston Texans / 3rd / 83rd pick / 2014
20,2014,Trent Murphy,DE,19,Stanford,College Stats,5-Jun,6'5,250,4.86,35.5,19,118,6.78,4.2,Washington Redskins / 2nd / 47th pick / 2014
21,2014,Zach Moore,DE,3,Concordia (MN),,5-Jun,6'5,269,4.84,33.5,23,123,7.41,4.46,New England Patriots / 6th / 198th pick / 2014
22,2014,Tevin Mims,DE,,South Florida,College Stats,4-Jun,6'4,260,4.95,27.5,17,109,,,
23,2014,Daniel McCullers,DT,4,Tennessee,College Stats,7-Jun,6'7,352,5.18,20.5,27,97,,,Pittsburgh Steelers / 6th / 215th pick / 2014
24,2014,Josh Mauro,DE,19,Stanford,College Stats,6-Jun,6'6,271,5.21,32,21,116,7.43,4.51,
25,2014,Kareem Martin,DE,14,North Carolina,College Stats,6-Jun,6'6,272,4.72,35.5,22,129,7.2,4.33,Arizona Cardinals / 3rd / 84th pick / 2014
26,2014,Cassius Marsh,DE,10,UCLA,College Stats,4-Jun,6'4,252,4.89,32,14,108,7.08,4.25,Seattle Seahawks / 4th / 108th pick / 2014
27,2014,Eathyn Manumaleuna,DT,,BYU,College Stats,2-Jun,6'2,296,5.16,28,29,101,7.78,4.61,
28,2014,Aaron Lynch,DE,13,South Florida,College Stats,5-Jun,6'5,249,4.76,,18,,,,San Francisco 49ers / 5th / 150th pick / 2014
29,2014,Demarcus Lawrence,DE,35,Boise State,College Stats,3-Jun,6'3,251,4.8,34.5,20,113,7.46,4.31,Dallas Cowboys / 2nd / 34th pick / 2014
30,2014,Zach Kerr,DT,10,Kansas State,,1-Jun,6'1,326,5.06,28.5,28,99,7.93,4.71,
31,2014,DaQuan Jones,DT,28,Penn State,College Stats,4-Jun,6'4,322,5.35,27.5,25,101,7.73,4.78,Tennessee Titans / 4th / 112th pick / 2014
32,2014,Anthony Johnson,DT,2,LSU,College Stats,2-Jun,6'2,308,5.24,24.5,20,102,7.93,4.83,
33,2014,Timmy Jernigan,DT,23,Florida State,College Stats,2-Jun,6'2,299,5.06,29.5,27,102,,4.83,Baltimore Ravens / 2nd / 48th pick / 2014
34,2014,Jackson Jeffcoat,DE,1,Texas,College Stats,3-Jun,6'3,247,4.63,36,18,123,6.97,4.18,
35,2014,Kerry Hyder,DT,4,Texas Tech,College Stats,2-Jun,6'2,290,5.1,29.5,20,108,7.23,4.33,
36,2014,Taylor Hart,DE,1,Oregon,College Stats,6-Jun,6'6,281,4.92,,21,,,,Philadelphia Eagles / 5th / 141st pick / 2014
37,2014,Ra'Shede Hageman,DT,8,Minnesota,College Stats,6-Jun,6'6,310,4.92,35.5,32,114,7.87,4.5,Atlanta Falcons / 2nd / 37th pick / 2014
38,2014,James Gayle,DE,,Virginia Tech,College Stats,4-Jun,6'4,259,4.7,37,26,122,7.19,4.27,
39,2014,Dee Ford,DE,23,Auburn,College Stats,2-Jun,6'2,252,,,,,,,Kansas City Chiefs / 1st / 23rd pick / 2014
40,2014,Ego Ferguson,DT,2,LSU,College Stats,3-Jun,6'3,315,4.98,,24,,,,Chicago Bears / 2nd / 51st pick / 2014
41,2014,I.K. Enemkpali,DE,1,Louisiana Tech,College Stats,1-Jun,6'1,261,4.86,34,28,112,7.67,4.65,New York Jets / 6th / 210th pick / 2014
42,2014,Justin Ellis,DT,20,Louisiana Tech,College Stats,1-Jun,6'1,334,5.27,28,25,92,7.81,4.75,Oakland Raiders / 4th / 107th pick / 2014
43,2014,Dominique Easley,DT,7,Florida,College Stats,2-Jun,6'2,288,4.93,,26,,,,New England Patriots / 1st / 29th pick / 2014
44,2014,Kony Ealy,DE,13,Missouri,College Stats,4-Jun,6'4,273,4.92,31,22,114,6.83,4.45,Carolina Panthers / 2nd / 60th pick / 2014
45,2014,Aaron Donald,DT,76,Pittsburgh,College Stats,1-Jun,6'1,285,4.68,32,35,116,7.11,4.39,St. Louis Rams / 1st / 13th pick / 2014
46,2014,Scott Crichton,DE,2,Oregon State,College Stats,3-Jun,6'3,273,4.84,31.5,24,108,7.19,4.29,Minnesota Vikings / 3rd / 72nd pick / 2014
47,2014,Deandre Coleman,DT,0,California,College Stats,5-Jun,6'5,314,5.12,,24,,,,
48,2014,Jadeveon Clowney,DE,40,South Carolina,College Stats,5-Jun,6'5,266,4.53,37.5,21,124,7.27,4.43,Houston Texans / 1st / 1st pick / 2014
49,2014,Will Clarke,DE,6,West Virginia,College Stats,6-Jun,6'6,271,4.77,32,22,112,7.26,4.57,Cincinnati Bengals / 3rd / 88th pick / 2014
50,2014,Ryan Carrethers,DT,3,Arkansas State,College Stats,1-Jun,6'1,337,5.47,26,32,88,7.89,4.6,San Diego Chargers / 5th / 165th pick / 2014
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
