Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
86,2013,Rex Burkhead,RB,12,Nebraska,College Stats,10-May,5'10,214,4.73,39,21,125,6.85,4.09,Cincinnati Bengals / 6th / 190th pick / 2013
87,2013,Giovani Bernard,RB,40,North Carolina,College Stats,8-May,5'8,202,4.53,33.5,19,122,6.91,4.12,Cincinnati Bengals / 2nd / 37th pick / 2013
88,2013,Le'Veon Bell,RB,60,Michigan State,College Stats,1-Jun,6'1,230,4.6,31.5,24,118,6.75,4.24,Pittsburgh Steelers / 2nd / 48th pick / 2013
89,2013,Kenjon Barner,RB,3,Oregon,College Stats,9-May,5'9,196,4.52,35.5,20,122,6.87,4.2,Carolina Panthers / 6th / 182nd pick / 2013
90,2013,Montee Ball,RB,8,Wisconsin,College Stats,10-May,5'10,214,4.66,32,15,118,6.88,4.4,Denver Broncos / 2nd / 58th pick / 2013
91,2013,C.J. Anderson,RB,28,California,College Stats,8-May,5'8,224,4.6,32,17,119,7.15,4.12,
92,2013,D.J. Harper,RB,,Boise State,College Stats,9-May,5'9,211,4.52,33.5,23,120,7.07,4.35,
93,2013,Montel Harris,RB,,Temple,College Stats,8-May,5'8,208,4.68,32.5,19,113,6.95,4.18,
94,2013,Stefphon Jefferson,RB,,Nevada,College Stats,10-May,5'10,213,4.68,31,15,117,6.97,4.44,
95,2013,Robbie Rouse,RB,,Fresno State,College Stats,6-May,5'6,190,4.8,34,15,114,6.97,4.25,
96,2012,David Wilson,RB,5,Virginia Tech,College Stats,10-May,5'10,206,4.38,41,,132,7.09,4.12,New York Giants / 1st / 32nd pick / 2012
97,2012,Fozzy Whittaker,RB,8,Maryland,College Stats,9-May,5'9,193,4.49,,20,,,,
98,2012,Robert Turbin,RB,17,Utah State,College Stats,10-May,5'10,222,4.42,36,28,122,7.16,4.31,Seattle Seahawks / 4th / 106th pick / 2012
99,2012,Trent Richardson,RB,18,Alabama,College Stats,9-May,5'9,228,4.48,,,,,,Cleveland Browns / 1st / 3rd pick / 2012
100,2012,Chris Rainey,RB,1,Florida,College Stats,8-May,5'8,180,4.36,36.5,16,120,6.5,3.93,Pittsburgh Steelers / 5th / 159th pick / 2012
101,2012,Tauren Poole,RB,0,Tennessee,College Stats,10-May,5'10,205,4.48,34,24,118,7.36,4.19,
102,2012,Chris Polk,RB,6,Washington,College Stats,10-May,5'10,215,4.52,31.5,,111,7.13,4.21,
103,2012,Bernard Pierce,RB,10,Temple,College Stats,Jun-00,6'1,218,4.45,36.5,17,123,7.07,4.28,Baltimore Ravens / 3rd / 84th pick / 2012
104,2012,Isaiah Pead,RB,1,Cincinnati,College Stats,10-May,5'10,197,4.39,33,,116,6.95,4.32,St. Louis Rams / 2nd / 50th pick / 2012
105,2012,Alfred Morris,RB,39,Florida Atlantic,College Stats,10-May,5'10,219,4.63,35.5,16,117,7.01,4.19,Washington Redskins / 6th / 173rd pick / 2012
106,2012,Lamar Miller,RB,47,Miami (FL),College Stats,11-May,5'11,212,4.34,33,,,,,Miami Dolphins / 4th / 97th pick / 2012
107,2012,Davin Meggett,RB,0,Maryland,College Stats,8-May,5'8,211,4.5,35,23,118,7.14,4.32,
108,2012,Doug Martin,RB,43,Boise State,College Stats,9-May,5'9,223,4.46,36,28,120,6.79,4.16,Tampa Bay Buccaneers / 1st / 31st pick / 2012
109,2012,LaMichael James,RB,2,Oregon,College Stats,8-May,5'8,194,4.35,35,15,123,6.88,4.12,San Francisco 49ers / 2nd / 61st pick / 2012
110,2012,Ronnie Hillman,RB,18,San Diego State,College Stats,9-May,5'9,200,4.42,37,17,,,,Denver Broncos / 3rd / 67th pick / 2012
111,2012,Dan Herron,RB,5,Ohio State,College Stats,10-May,5'10,213,4.57,35,22,117,6.97,4.04,Cincinnati Bengals / 6th / 191st pick / 2012
112,2012,Jewel Hampton,RB,0,Southern Illinois,,9-May,5'9,218,4.56,,26,,,,
113,2012,Jonas Gray,RB,4,Notre Dame,College Stats,10-May,5'10,223,4.58,,20,,,,
114,2012,Cyrus Gray,RB,1,Texas A&M,College Stats,10-May,5'10,206,4.4,32.5,21,114,7.17,,Kansas City Chiefs / 6th / 182nd pick / 2012
115,2012,Terrance Ganaway,RB,0,Baylor,College Stats,11-May,5'11,239,4.61,37.5,,119,7.15,4.25,New York Jets / 6th / 202nd pick / 2012
116,2012,Brandon Bolden,RB,11,Mississippi,College Stats,11-May,5'11,222,4.55,38,21,119,6.96,4.44,
117,2012,Vick Ballard,RB,5,Mississippi State,College Stats,10-May,5'10,219,4.59,33,23,115,7.03,4.19,Indianapolis Colts / 5th / 170th pick / 2012
118,2012,Edwin Baker,RB,1,Michigan State,College Stats,8-May,5'8,204,4.44,35,20,111,7.27,4.31,San Diego Chargers / 7th / 250th pick / 2012
119,2012,Marc Tyler,RB,,Southern California,College Stats,11-May,5'11,219,4.7,30.5,19,110,,,
120,2012,Darrell Scott,RB,,South Florida,College Stats,Jun-00,6'1,231,4.68,31.5,,,,,
121,2012,Mike Ball,RB,,Nevada,College Stats,8-May,5'8,206,4.54,36,21,112,7.1,4.23,
122,2012,Lennon Creer,RB,,Louisiana Tech,College Stats,11-May,5'11,219,4.67,33.5,21,110,7.26,4.4,
123,2011,Ryan Williams,RB,1,Virginia Tech,College Stats,9-May,5'9,212,4.59,40,19,123,6.96,4.18,Arizona Cardinals / 2nd / 38th pick / 2011
124,2011,Johnny White,RB,0,North Carolina,College Stats,10-May,5'10,209,4.5,32.5,,117,7.07,4.31,Buffalo Bills / 5th / 133rd pick / 2011
125,2011,Shane Vereen,RB,27,California,College Stats,10-May,5'10,210,4.49,34,31,115,6.95,4.28,New England Patriots / 2nd / 56th pick / 2011
126,2011,Jordan Todman,RB,5,Connecticut,College Stats,9-May,5'9,203,4.4,38,25,126,7.24,4.18,San Diego Chargers / 6th / 183rd pick / 2011
127,2011,Daniel Thomas,RB,12,Kansas State,College Stats,Jun-00,6'1,230,4.62,,21,,,,Miami Dolphins / 2nd / 62nd pick / 2011
128,2011,Vai Taua,RB,,Nevada,College Stats,9-May,5'9,213,4.65,34.5,20,112,6.89,4.18,
129,2011,Da'Rel Scott,RB,1,Maryland,College Stats,11-May,5'11,211,4.4,34,19,117,7.15,4.2,New York Giants / 7th / 221st pick / 2011
130,2011,Brandon Saine,RB,1,Ohio State,College Stats,11-May,5'11,220,4.4,34.5,22,113,6.98,4.25,
131,2011,Evan Royster,RB,4,Penn State,College Stats,Jun-00,6'1,212,4.65,34,20,113,7.07,4.18,Washington Redskins / 6th / 177th pick / 2011
132,2011,Jacquizz Rodgers,RB,27,Oregon State,College Stats,6-May,5'6,196,4.59,33,,113,7.31,4.26,Atlanta Falcons / 5th / 145th pick / 2011
133,2011,Stevan Ridley,RB,27,LSU,College Stats,11-May,5'11,225,4.65,36,18,118,6.78,4.21,New England Patriots / 3rd / 73rd pick / 2011
