Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
23,2015,Yannick Cudjoe-Virgil,OLB,,Maryland,,2-Jun,6'2,248,4.8,,25,,,,
24,2015,Dante Fowler,OLB,,Florida,,3-Jun,6'3,261,4.6,32.5,19,112,7.4,4.32,
25,2015,Zack Hodges,OLB,,Harvard,,2-Jun,6'2,250,4.68,33.5,,125,,4.65,
26,2014,Jordan Zumwalt,OLB,,UCLA,College Stats,4-Jun,6'4,235,4.76,33,,116,6.99,4.25,Pittsburgh Steelers / 6th / 192nd pick / 2014
27,2014,Kyle Van Noy,OLB,24,BYU,College Stats,3-Jun,6'3,243,4.71,32.5,21,112,7.22,4.2,Detroit Lions / 2nd / 40th pick / 2014
28,2014,Jordan Tripp,OLB,3,Montana,,3-Jun,6'3,234,4.67,37.5,22,120,6.89,3.96,Miami Dolphins / 5th / 171st pick / 2014
29,2014,Tyler Starr,OLB,0,South Dakota,,4-Jun,6'4,250,4.95,32,24,116,6.64,4.15,Atlanta Falcons / 7th / 255th pick / 2014
30,2014,Telvin Smith,OLB,48,Florida State,College Stats,3-Jun,6'3,218,4.52,31.5,,119,,,Jacksonville Jaguars / 5th / 144th pick / 2014
31,2014,Chris Smith,OLB,7,Arkansas,College Stats,1-Jun,6'1,266,4.66,37,28,121,7.55,4.46,Jacksonville Jaguars / 5th / 159th pick / 2014
32,2014,Prince Shembo,OLB,2,Notre Dame,College Stats,1-Jun,6'1,253,4.71,38.5,26,122,7.29,4.31,Atlanta Falcons / 4th / 139th pick / 2014
33,2014,Ryan Shazier,OLB,28,Ohio State,College Stats,1-Jun,6'1,237,4.58,42,25,130,6.91,4.21,Pittsburgh Steelers / 1st / 15th pick / 2014
34,2014,Trevor Reilly,OLB,3,Utah,College Stats,5-Jun,6'5,245,4.67,,26,,,,New York Jets / 7th / 233rd pick / 2014
35,2014,Ronald Powell,OLB,1,Florida,College Stats,3-Jun,6'3,237,4.65,35.5,21,114,,,New Orleans Saints / 5th / 169th pick / 2014
36,2014,Kevin Pierre-Louis,OLB,5,Boston College,College Stats,Jun-00,6'1,232,4.51,39,28,128,6.92,4.02,Seattle Seahawks / 4th / 132nd pick / 2014
37,2014,Jonathan Newsome,OLB,4,Ball State,College Stats,3-Jun,6'3,247,4.73,34,21,117,7.31,4.63,Indianapolis Colts / 5th / 166th pick / 2014
38,2014,Khalil Mack,OLB,65,Buffalo,College Stats,3-Jun,6'3,251,4.65,40,23,128,7.08,4.18,Oakland Raiders / 1st / 5th pick / 2014
