Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2015,Cam Worthy,WR,,East Carolina,College Stats,2-Jun,6'2,211,4.59,,12,,,,
2,2015,Kevin White,WR,2,West Virginia,College Stats,3-Jun,6'3,215,4.35,36.5,23,123,6.92,4.14,Chicago Bears / 1st / 7th pick / 2015
3,2015,DeAndrew White,WR,0,Alabama,College Stats,11-May,5'11,193,4.44,34.5,,118,6.97,4.18,
4,2015,Darren Waller,WR,2,Georgia Tech,College Stats,6-Jun,6'6,238,4.46,37,12,125,7.07,4.25,Baltimore Ravens / 6th / 204th pick / 2015
5,2015,Jaelen Strong,WR,2,Arizona State,College Stats,2-Jun,6'2,217,4.44,42,,123,,,Houston Texans / 3rd / 70th pick / 2015
6,2015,Devin Smith,WR,1,Ohio State,College Stats,Jun-00,6'1,196,4.42,39,10,122,,4.15,New York Jets / 2nd / 37th pick / 2015
7,2015,DeAndre Smelter,WR,0,Georgia Tech,College Stats,2-Jun,6'2,226,4.52,,,,,,San Francisco 49ers / 4th / 132nd pick / 2015
8,2015,Ezell Ruffin,WR,,San Diego State,College Stats,Jun-00,6'1,218,4.68,27.5,17,110,7.35,4.58,
9,2015,Breshad Perriman,WR,6,Central Florida,College Stats,2-Jun,6'2,212,,,,,,,Baltimore Ravens / 1st / 26th pick / 2015
10,2015,DeVante Parker,WR,16,Louisville,College Stats,3-Jun,6'3,209,4.45,36.5,17,125,,,Miami Dolphins / 1st / 14th pick / 2015
11,2015,J.J. Nelson,WR,12,Alabama-Birmingham,,10-May,5'10,156,4.28,36,,127,7.02,4.15,Arizona Cardinals / 5th / 159th pick / 2015
12,2015,Keith Mumphery,WR,2,Michigan State,College Stats,Jun-00,6'1,215,4.54,32.5,,121,7.07,4.25,Houston Texans / 5th / 175th pick / 2015
13,2015,Ty Montgomery,WR,15,Stanford,College Stats,Jun-00,6'1,221,4.55,40.5,,121,6.97,4.21,Green Bay Packers / 3rd / 94th pick / 2015
14,2015,Tre McBride,WR,1,William & Mary,,Jun-00,6'1,210,4.41,38,16,122,6.96,4.08,Tennessee Titans / 7th / 245th pick / 2015
