Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2010,Willie Young,DE,24,North Carolina State,College Stats,5-Jun,6'5,251,4.88,38,25,118,7.24,4.56,Detroit Lions / 7th / 213th pick / 2010
2,2010,Doug Worthington,DT,0,Ohio State,College Stats,5-Jun,6'5,292,5.02,,19,,,,Pittsburgh Steelers / 7th / 242nd pick / 2010
3,2010,Corey Wootton,DE,16,Northwestern,College Stats,6-Jun,6'6,270,4.92,,20,,,,Chicago Bears / 4th / 109th pick / 2010
4,2010,Al Woods,DT,24,LSU,College Stats,4-Jun,6'4,309,5.15,37,,109,7.45,4.67,New Orleans Saints / 4th / 123rd pick / 2010
5,2010,E.J. Wilson,DE,0,North Carolina,College Stats,2-Jun,6'2,286,4.97,29.5,23,,,,Seattle Seahawks / 4th / 127th pick / 2010
6,2010,C.J. Wilson,DE,17,East Carolina,College Stats,3-Jun,6'3,290,4.83,33,32,116,,4.77,Green Bay Packers / 7th / 230th pick / 2010
7,2010,Dan Williams,DT,36,Tennessee,College Stats,2-Jun,6'2,327,5.19,32,27,96,7.88,4.87,Arizona Cardinals / 1st / 26th pick / 2010
8,2010,Torell Troup,DT,3,Central Florida,,3-Jun,6'3,314,5.12,29,34,98,7.61,4.73,Buffalo Bills / 2nd / 41st pick / 2010
9,2010,Cam Thomas,DT,19,North Carolina,College Stats,4-Jun,6'4,330,5.16,29,31,102,7.68,4.78,San Diego Chargers / 5th / 146th pick / 2010
10,2010,Daniel Te'o-Nesheim,DE,12,Washington,College Stats,3-Jun,6'3,263,4.73,37,29,121,6.91,4.18,Philadelphia Eagles / 3rd / 86th pick / 2010
11,2010,Ndamukong Suh,DT,98,Nebraska,College Stats,4-Jun,6'4,307,5.03,35.5,32,105,7.21,4.44,Detroit Lions / 1st / 2nd pick / 2010
12,2010,D'Anthony Smith,DT,1,Louisiana Tech,College Stats,2-Jun,6'2,304,5.01,,,,,,Jacksonville Jaguars / 3rd / 74th pick / 2010
13,2010,Malcolm Sheppard,DT,1,Arkansas,College Stats,2-Jun,6'2,285,5.11,28,19,100,7.81,4.78,
14,2010,George Selvie,DE,18,South Florida,College Stats,4-Jun,6'4,252,4.93,30.5,24,109,7.48,4.63,St. Louis Rams / 7th / 226th pick / 2010
15,2010,Jay Ross,DT,0,East Carolina,College Stats,3-Jun,6'3,313,5.1,32,30,100,7.83,4.64,
16,2010,Brian Price,DT,4,UCLA,College Stats,1-Jun,6'1,303,5.12,28.5,34,96,,,Tampa Bay Buccaneers / 2nd / 35th pick / 2010
17,2010,Jason Pierre-Paul,DE,68,South Florida,College Stats,5-Jun,6'5,270,4.71,30.5,19,115,7.18,4.67,New York Giants / 1st / 15th pick / 2010
18,2010,Corey Peters,DT,45,Kentucky,College Stats,3-Jun,6'3,300,4.98,33,,98,7.56,4.76,Atlanta Falcons / 3rd / 83rd pick / 2010
19,2010,Jeff Owens,DT,0,Georgia,College Stats,1-Jun,6'1,304,4.97,30,44,101,,4.68,Philadelphia Eagles / 7th / 243rd pick / 2010
20,2010,Jared Odrick,DT,32,Penn State,College Stats,5-Jun,6'5,304,5.03,29,26,106,7.22,4.59,Miami Dolphins / 1st / 28th pick / 2010
21,2010,Mike Neal,DT,18,Purdue,College Stats,3-Jun,6'3,294,4.87,33,31,113,7.53,4.53,Green Bay Packers / 2nd / 56th pick / 2010
22,2010,Derrick Morgan,DE,48,Georgia Tech,College Stats,3-Jun,6'3,266,4.77,34,,112,7.12,4.43,Tennessee Titans / 1st / 16th pick / 2010
23,2010,Earl Mitchell,DT,34,Arizona,College Stats,2-Jun,6'2,296,4.75,28.5,25,107,7.68,4.55,Houston Texans / 3rd / 81st pick / 2010
24,2010,Gerald McCoy,DT,76,Oklahoma,College Stats,4-Jun,6'4,295,5.04,30.5,23,114,7.32,4.48,Tampa Bay Buccaneers / 1st / 3rd pick / 2010
25,2010,Erik Lorig,DE,1,Stanford,College Stats,3-Jun,6'3,281,4.86,,,,,,Tampa Bay Buccaneers / 7th / 253rd pick / 2010
26,2010,Brandon Lang,DE,1,Troy,College Stats,4-Jun,6'4,266,5,28.5,20,104,,4.68,
27,2010,Jammie Kirlew,DE,0,Indiana,College Stats,1-Jun,6'1,260,5.05,33,26,111,7.5,4.74,Denver Broncos / 7th / 232nd pick / 2010
28,2010,Linval Joseph,DT,69,East Carolina,College Stats,4-Jun,6'4,328,5.09,30,39,100,8.12,4.71,New York Giants / 2nd / 46th pick / 2010
29,2010,Arthur Jones,DT,20,Syracuse,College Stats,3-Jun,6'3,301,5.04,,,,,,Baltimore Ravens / 5th / 157th pick / 2010
30,2010,Lamarr Houston,DT,36,Texas,College Stats,3-Jun,6'3,305,4.84,33.5,30,114,7.61,4.71,Oakland Raiders / 2nd / 44th pick / 2010
31,2010,Greg Hardy,DE,34,Mississippi,College Stats,4-Jun,6'4,281,4.82,35,21,117,7.25,4.65,Carolina Panthers / 6th / 175th pick / 2010
32,2010,Everson Griffen,DE,61,Southern California,College Stats,3-Jun,6'3,273,4.65,,32,,,,Minnesota Vikings / 4th / 100th pick / 2010
