Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2013,Tourek Williams,DE,5,Florida International,College Stats,3-Jun,6'3,260,4.92,33,25,112,,,San Diego Chargers / 6th / 179th pick / 2013
2,2013,Sylvester Williams,DT,32,North Carolina,College Stats,3-Jun,6'3,313,5.03,26.5,27,102,7.93,4.8,Denver Broncos / 1st / 28th pick / 2013
3,2013,Nicholas Williams,DT,2,Samford,,4-Jun,6'4,309,4.94,33,28,111,7.55,4.65,Pittsburgh Steelers / 7th / 223rd pick / 2013
4,2013,Jesse Williams,DT,,Alabama,College Stats,3-Jun,6'3,323,4.94,,30,,,,Seattle Seahawks / 5th / 137th pick / 2013
5,2013,Brandon Williams,DT,42,Missouri Southern,,1-Jun,6'1,335,5.37,29.5,38,102,8.09,4.91,Baltimore Ravens / 3rd / 94th pick / 2013
6,2013,Bjoern Werner,DE,10,Florida State,College Stats,3-Jun,6'3,266,4.83,31,25,111,7.3,4.4,Indianapolis Colts / 1st / 24th pick / 2013
7,2013,Cornelius Washington,DE,6,Georgia,College Stats,4-Jun,6'4,265,4.55,39,36,128,,,Chicago Bears / 6th / 188th pick / 2013
8,2013,Devin Taylor,DE,13,South Carolina,College Stats,7-Jun,6'7,266,4.72,35,14,128,6.89,4.3,Detroit Lions / 4th / 132nd pick / 2013
9,2013,Walter Stewart,DE,,Cincinnati,College Stats,4-Jun,6'4,246,4.69,,,,,,
10,2013,Damion Square,DE,13,Alabama,College Stats,2-Jun,6'2,293,5.23,,,,,,
11,2013,Akeem Spence,DT,26,Illinois,College Stats,1-Jun,6'1,307,5.15,30,37,107,7.82,4.72,Tampa Bay Buccaneers / 4th / 100th pick / 2013
12,2013,Quanterus Smith,DE,1,Western Kentucky,College Stats,5-Jun,6'5,250,4.74,,,,,,Denver Broncos / 5th / 146th pick / 2013
13,2013,Jared Smith,DT,,New Hampshire,,3-Jun,6'3,302,5.08,32.5,28,115,7.2,4.39,Seattle Seahawks / 7th / 241st pick / 2013
14,2013,Kawann Short,DT,43,Purdue,College Stats,3-Jun,6'3,299,5.08,,,,,,Carolina Panthers / 2nd / 44th pick / 2013
15,2013,Sheldon Richardson,DT,54,Missouri,College Stats,2-Jun,6'2,294,5.02,32,30,116,,,New York Jets / 1st / 13th pick / 2013
16,2013,Alex Okafor,DE,28,Texas,College Stats,4-Jun,6'4,264,4.78,,21,,,,Arizona Cardinals / 4th / 103rd pick / 2013
17,2013,Damontre Moore,DE,4,Texas A&M,College Stats,4-Jun,6'4,250,4.95,35.5,12,122,,,New York Giants / 3rd / 81st pick / 2013
18,2013,Sam Montgomery,DE,,LSU,College Stats,3-Jun,6'3,262,4.81,34.5,,114,7.18,4.51,Houston Texans / 3rd / 95th pick / 2013
19,2013,Stacy McGee,DT,17,Oklahoma,College Stats,3-Jun,6'3,308,4.98,,,,,,Oakland Raiders / 6th / 205th pick / 2013
20,2013,Stansly Maponga,DE,2,TCU,College Stats,2-Jun,6'2,256,4.78,,30,,,,Atlanta Falcons / 5th / 153rd pick / 2013
21,2013,Star Lotulelei,DT,41,Utah,College Stats,2-Jun,6'2,311,5.14,,,,,,Carolina Panthers / 1st / 14th pick / 2013
22,2013,Bennie Logan,DT,35,LSU,College Stats,2-Jun,6'2,309,5.08,25,30,104,7.53,4.67,Philadelphia Eagles / 3rd / 67th pick / 2013
23,2013,Kapron Lewis-Moore,DT,0,Notre Dame,College Stats,4-Jun,6'4,298,4.95,,,,,,Baltimore Ravens / 6th / 200th pick / 2013
24,2013,Corey Lemonier,DE,4,Auburn,College Stats,3-Jun,6'3,255,4.6,33,27,119,7.14,4.4,San Francisco 49ers / 3rd / 88th pick / 2013
25,2013,Joe Kruger,DE,,Utah,College Stats,6-Jun,6'6,269,4.83,34,24,117,7.17,4.46,Philadelphia Eagles / 7th / 212th pick / 2013
26,2013,Datone Jones,DE,11,UCLA,College Stats,4-Jun,6'4,283,4.8,31.5,29,112,7.32,4.32,Green Bay Packers / 1st / 26th pick / 2013
27,2013,Chris Jones,DT,15,Bowling Green,College Stats,2-Jun,6'2,302,5.33,,30,,7.34,4.44,Houston Texans / 6th / 198th pick / 2013
28,2013,Abry Jones,DT,21,Georgia,College Stats,3-Jun,6'3,313,5.06,26.5,30,101,,,
29,2013,John Jenkins,DT,13,Georgia,College Stats,4-Jun,6'4,346,5.21,,30,,,,New Orleans Saints / 3rd / 82nd pick / 2013
30,2013,Brandon Jenkins,DE,0,Florida State,College Stats,2-Jun,6'2,251,5.07,,18,,,,Washington Redskins / 5th / 162nd pick / 2013
