Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
71,2011,Tyrod Taylor,QB,43,Virginia Tech,College Stats,43617,6'1,217,4.47,37.5,,126,6.78,4.09,Baltimore Ravens / 6th / 180th pick / 2011
72,2011,Ricky Stanzi,QB,0,Iowa,College Stats,43620,6'4,223,4.87,32.5,,110,6.95,4.43,Kansas City Chiefs / 5th / 135th pick / 2011
73,2011,Josh Portis,QB,,California (PA),,43619,6'3,211,4.59,40,,126,6.84,4.12,
74,2011,Christian Ponder,QB,23,Florida State,College Stats,43618,6'2,229,4.63,34,,116,6.85,4.09,Minnesota Vikings / 1st / 12th pick / 2011
75,2011,Cam Newton,QB,122,Auburn,College Stats,43621,6'5,248,4.56,35,,126,6.92,4.18,Carolina Panthers / 1st / 1st pick / 2011
76,2011,Greg McElroy,QB,1,Alabama,College Stats,43618,6'2,220,4.84,33,,107,7.11,4.45,New York Jets / 7th / 208th pick / 2011
77,2011,Ryan Mallett,QB,4,Arkansas,College Stats,43623,6'7,253,5.37,24,,103,,,New England Patriots / 3rd / 74th pick / 2011
78,2011,Jake Locker,QB,16,Washington,College Stats,43618,6'2,231,4.51,35,,120,6.77,4.12,Tennessee Titans / 1st / 8th pick / 2011
79,2011,Colin Kaepernick,QB,49,Nevada,College Stats,43621,6'5,233,4.53,32.5,,115,6.85,4.18,San Francisco 49ers / 2nd / 36th pick / 2011
80,2011,Jerrod Johnson,QB,,Texas A&M,College Stats,43621,6'5,251,4.75,29,,119,7.28,4.31,
81,2011,Blaine Gabbert,QB,17,Missouri,College Stats,43620,6'4,234,4.61,33.5,,120,6.84,4.26,Jacksonville Jaguars / 1st / 10th pick / 2011
82,2011,Nathan Enderle,QB,,Idaho,College Stats,43620,6'4,240,5.12,25.5,,102,7.13,4.46,Chicago Bears / 5th / 160th pick / 2011
83,2011,Pat Devlin,QB,0,Delaware,,43619,6'3,225,4.81,33,,116,7.08,4.32,
84,2011,Andy Dalton,QB,91,TCU,College Stats,43618,6'2,215,4.83,29.5,,106,6.93,4.27,Cincinnati Bengals / 2nd / 35th pick / 2011
85,2011,Jeff Van Camp,QB,,Florida Atlantic,College Stats,43621,6'5,218,4.83,31,,114,6.87,4.16,
86,2011,Ryan Colburn,QB,,Fresno State,College Stats,43619,6'3,233,5.12,,,,6.84,4.28,
